n calls (143671010 primitive calls) in 165.255 seconds

Ordered by: cumulative time

ncalls  tottime  percall  cumtime  percall filename:lineno(function)
20    0.000    0.000    0.027    0.001 metrics.py:1316(f1_score)
20    0.000    0.000    0.027    0.001 metrics.py:1401(fbeta_score)
20    0.002    0.000    0.027    0.001 metrics.py:1543(precision_recall_fscore_support)
14908    0.024    0.000    0.027    0.000 sre_parse.py:183(__next)
1    0.000    0.000    0.026    0.026 ridge.py:3(<module>)
30    0.001    0.000    0.026    0.001 __init__.py:297(namedtuple)
1    0.000    0.000    0.026    0.026 discourse.py:44(<module>)
1    0.000    0.000    0.026    0.026 subprocess.py:345(<module>)
1    0.000    0.000    0.025    0.025 dis.py:1(<module>)
1    0.000    0.000    0.025    0.025 optimize.py:17(<module>)
2    0.000    0.000    0.025    0.013 api.py:12(<module>)
1    0.000    0.000    0.025    0.025 pytables.py:4(<module>)
1    0.000    0.000    0.025    0.025 synchronize.py:11(<module>)
614/317    0.003    0.000    0.025    0.000 inspect.py:1889(_signature_internal)
1076    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap>:261(__enter__)
22    0.000    0.000    0.024    0.001 getlimits.py:93(__new__)
18548    0.018    0.000    0.024    0.000 dbpedia.py:39(strip_dbpedia_prefix)
1    0.000    0.000    0.024    0.024 decomp_schur.py:1(<module>)
1    0.000    0.000    0.024    0.024 packers.py:4(<module>)
2    0.000    0.000    0.024    0.012 getlimits.py:126(_init)
2    0.000    0.000    0.024    0.012 machar.py:97(__init__)
2    0.007    0.004    0.024    0.012 machar.py:113(_do_init)
1    0.000    0.000    0.024    0.024 linesearch.py:13(<module>)
1    0.000    0.000    0.024    0.024 uuid.py:45(<module>)
869    0.002    0.000    0.024    0.000 lookuptree.py:54(assoc)
1    0.000    0.000    0.024    0.024 decimal.py:113(<module>)
