         132940896 function calls (127617902 primitive calls) in 109.848 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3405    0.004    0.000    0.004    0.000 _weakrefset.py:70(__contains__)
     1779    0.004    0.000    0.028    0.000 wikiapi.py:214(<listcomp>)
     3558    0.004    0.000    0.017    0.000 dbpedia.py:60(to_category_uri)
     3558    0.004    0.000    0.004    0.000 db.py:238(__contains__)
      660    0.004    0.000    0.007    0.000 sre_compile.py:201(_optimize_charset)
     1779    0.004    0.000    0.026    0.000 wikiapi.py:208(<listcomp>)
      317    0.004    0.000    0.032    0.000 inspect.py:937(getfullargspec)
     3241    0.004    0.000    0.009    0.000 numeric.py:394(asarray)
    11477    0.004    0.000    0.004    0.000 {built-in method proxy}
      872    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
  762/266    0.004    0.000    0.064    0.000 sre_parse.py:351(_parse_sub)
    759/2    0.004    0.000    1.071    0.536 <frozen importlib._bootstrap>:1465(exec_module)
     3732    0.004    0.000    0.024    0.000 {method 'any' of 'numpy.ndarray' objects}
      300    0.003    0.000    0.011    0.000 function_base.py:436(average)
     3680    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
      502    0.003    0.000    0.092    0.000 arrayprint.py:700(__init__)
       86    0.003    0.000    0.118    0.001 _distn_infrastructure.py:1395(__init__)
      518    0.003    0.000    0.003    0.000 _weakrefset.py:36(__init__)
      759    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:739(__exit__)
     1518    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:824(cached)
      591    0.003    0.000    0.110    0.000 re.py:273(_compile)
      758    0.003    0.000    0.133    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
     1076    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:261(__enter__)
     5749    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
      759    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:129(_new_module)
      144    0.003    0.000    0.003    0.000 {built-in method getcwd}
  614/317    0.003    0.000    0.024    0.000 inspect.py:1889(_signature_internal)
     1212    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:172(__init__)
     2000    0.002    0.000    0.004    0.000 search.py:102(peek)
       99    0.002    0.000    0.036    0.000 _distn_infrastructure.py:615(_construct_argparser)
      100    0.002    0.000    0.019    0.000 multiclass.py:49(unique_labels)
     3670    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap>:68(_path_stat)
      156    0.002    0.000    0.012    0.000 abc.py:132(__new__)
      500    0.002    0.000    0.022    0.000 learning_search.py:74(copy)
     1400    0.002    0.000    0.002    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1400    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
     1632    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:56(_path_split)
4223/4111    0.002    0.000    0.004    0.000 {built-in method issubclass}
    13839    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
     4032    0.002    0.000    0.021    0.000 _methods.py:37(_any)
      504    0.002    0.000    3.003    0.006 search_space.py:105(next_states)
     1502    0.002    0.000    0.173    0.000 category_explorer.py:407(goal_test)
      872    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
      830    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
      150    0.002    0.000    0.006    0.000 validation.py:178(check_arrays)
     1779    0.002    0.000    0.042    0.000 wikiapi.py:167(get_supercats)
      906    0.002    0.000    0.002    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      317    0.002    0.000    0.013    0.000 inspect.py:2322(__init__)
      502    0.002    0.000    0.002    0.000 arrayprint.py:716(__init__)
      660    0.002    0.000    0.009    0.000 sre_compile.py:172(_compile_charset)
     5438    0.002    0.000    0.004    0.000 sre_parse.py:202(match)
      200    0.002    0.000    0.029    0.000 metrics.py:1499(_prf_divide)
     1040    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:790(__init__)
      759    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap>:1099(create)
        3    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
      642    0.002    0.000    0.004    0.000 topics.py:751(_parse_line)
     5079    0.002    0.000    0.002    0.000 {built-in method release_lock}
    515/1    0.002    0.000    1.071    1.071 {built-in method __import__}
     1779    0.002    0.000    0.029    0.000 wikiapi.py:163(get_subcats)
      200    0.002    0.000    0.002    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
      902    0.002    0.000    0.008    0.000 fromnumeric.py:1283(ravel)
      263    0.002    0.000    0.108    0.000 sre_compile.py:460(compile)
     2000    0.002    0.000    0.006    0.000 search.py:165(peek)
      263    0.002    0.000    0.011    0.000 sre_compile.py:341(_compile_info)
     1623    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
       15    0.002    0.000    0.006    0.000 ops.py:24(_create_methods)
       99    0.002    0.000    0.084    0.001 _distn_infrastructure.py:691(_construct_doc)
     1771    0.002    0.000    0.002    0.000 sre_parse.py:90(__init__)
     3143    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:2124(__exit__)
  266/263    0.002    0.000    0.069    0.000 sre_parse.py:738(parse)
      922    0.002    0.000    0.002    0.000 inspect.py:2112(__init__)
     3143    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:2120(__enter__)
      150    0.002    0.000    0.028    0.000 metrics.py:82(_check_clf_targets)
      502    0.001    0.000    0.002    0.000 arrayprint.py:689(__init__)
      100    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
      200    0.001    0.000    0.008    0.000 arraysetops.py:214(intersect1d)
      758    0.001    0.000    0.001    0.000 {built-in method _fix_co_filename}
      504    0.001    0.000    2.114    0.004 category_explorer.py:193(next_actions)
     1002    0.001    0.000    0.003    0.000 {built-in method any}
     1500    0.001    0.000    0.006    0.000 search.py:225(current_cost_state_pair)
      554    0.001    0.000    1.096    0.002 dictionary.py:70(items)
     2428    0.001    0.000    0.001    0.000 {built-in method allocate_lock}
   1098/2    0.001    0.000    1.071    0.536 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
     1014    0.001    0.000    0.114    0.000 <frozen importlib._bootstrap>:1934(find_spec)
      500    0.001    0.000    0.019    0.000 __init__.py:207(copy)
       46    0.001    0.000    0.001    0.000 my_exceptions.py:53(_mk_exception)
     3214    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     2938    0.001    0.000    0.002    0.000 sre_parse.py:138(append)
      502    0.001    0.000    0.364    0.001 numeric.py:1681(array_str)
      759    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:1631(path_stats)
      554    0.001    0.000    1.097    0.002 category_explorer.py:73(candidate_nodes)
     1517    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:45(_r_long)
      400    0.001    0.000    0.001    0.000 function_base.py:1644(__init__)
   302/14    0.001    0.000    0.004    0.000 pyparsing.py:957(_parseNoCache)
      501    0.001    0.000    0.003    0.000 search.py:263(done)
     6185    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
  113/103    0.001    0.000    0.151    0.001 <frozen importlib._bootstrap>:1708(load_module)
     1076    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:268(__exit__)
       30    0.001    0.000    0.022    0.001 __init__.py:297(namedtuple)
      200    0.001    0.000    0.016    0.000 label.py:130(transform)
      724    0.001    0.000    0.002    0.000 sre_compile.py:315(_simple)
      308    0.001    0.000    0.032    0.000 inspect.py:913(getargspec)
      101    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
      501    0.001    0.000    0.002    0.000 search.py:96(pop)
     4984    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1278    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.BufferedRandom' objects}
  872/839    0.001    0.000    0.153    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
     1506    0.001    0.000    0.001    0.000 arrayprint.py:661(__init__)
      300    0.001    0.000    0.001    0.000 {built-in method bincount}
     2733    0.001    0.000    0.001    0.000 sre_parse.py:126(__len__)
     2926    0.001    0.000    0.001    0.000 dictionary.py:11(<listcomp>)
       50    0.001    0.000    0.561    0.011 util.py:202(weighted_f1)
     2778    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      500    0.001    0.000    0.002    0.000 multiclass.py:166(is_sequence_of_sequences)
      500    0.001    0.000    0.006    0.000 category_explorer.py:87(is_candidate)
   112/21    0.001    0.000    0.002    0.000 abc.py:194(__subclasscheck__)
     1076    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:257(__init__)
     1520    0.001    0.000    0.001    0.000 {built-in method from_bytes}
    759/2    0.001    0.000    1.071    0.536 <frozen importlib._bootstrap>:1122(_exec)
      817    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     3813    0.001    0.000    0.001    0.000 {built-in method get_ident}
      499    0.001    0.000    0.001    0.000 learning_search.py:324(feedback_required)
      759    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:842(parent)
        1    0.001    0.001    0.001    0.001 plotting.py:145(_Options)
     3357    0.001    0.000    0.001    0.000 {built-in method acquire_lock}
     1510    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:30(_relax_case)
       31    0.001    0.000    0.001    0.000 _inspect.py:159(formatargspec)
      759    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1591(__init__)
      499    0.001    0.000    0.002    0.000 category_explorer.py:416(state_to_node_name)
     1014    0.001    0.000    0.001    0.000 {built-in method is_frozen}
     3030    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
        1    0.001    0.001    0.001    0.001 base.py:284(IndexOpsMixin)
      500    0.001    0.000    0.023    0.000 learning_search.py:98(new_iteration)
      101    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1979(__init__)
      581    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      623    0.001    0.000    0.001    0.000 sre_parse.py:295(_escape)
      100    0.001    0.000    0.733    0.007 util.py:188(measure_params_ytrue_ypred_)
       24    0.001    0.000    0.001    0.000 {built-in method dir}
     1662    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
        1    0.001    0.001    0.006    0.006 topics.py:758(read_topic_labels)
      121    0.001    0.000    0.002    0.000 functools.py:43(update_wrapper)
       68    0.001    0.000    0.005    0.000 pkg_resources.py:1882(find_on_path)
      759    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:732(__enter__)
      282    0.001    0.000    0.002    0.000 function_base.py:3251(add_newdoc)
     1239    0.001    0.000    0.001    0.000 inspect.py:2367(<genexpr>)
      675    0.001    0.000    0.001    0.000 {built-in method abs}
      501    0.001    0.000    0.001    0.000 learning_search.py:68(__init__)
      400    0.001    0.000    0.003    0.000 validation.py:296(column_or_1d)
     1014    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1336(find_spec)
      504    0.001    0.000    0.001    0.000 {built-in method reduce}
      332    0.001    0.000    0.001    0.000 decorators.py:178(__call__)
     3568    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      130    0.001    0.000    0.001    0.000 pyparsing.py:807(__init__)
       50    0.001    0.000    0.002    0.000 _methods.py:53(_mean)
     1614    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      184    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:2240(_gcd_import)
      263    0.001    0.000    0.038    0.000 sre_compile.py:445(_code)
       23    0.001    0.000    0.001    0.000 {method 'close' of 'mmap.mmap' objects}
      500    0.001    0.000    0.002    0.000 multiclass.py:117(is_label_indicator_matrix)
       65    0.001    0.000    0.001    0.000 groupby.py:2171(_whitelist_method_generator)
        1    0.001    0.001    0.123    0.123 _continuous_distns.py:5(<module>)
      700    0.001    0.000    0.004    0.000 {method 'sum' of 'numpy.ndarray' objects}
      499    0.001    0.000    0.001    0.000 learning_search.py:117(n_restarts)
        4    0.001    0.000    0.001    0.000 {built-in method urandom}
       68    0.001    0.000    0.001    0.000 ops.py:757(_arith_method_FRAME)
        1    0.001    0.001    0.009    0.009 expr.py:2(<module>)
      759    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(__init__)
      141    0.001    0.000    0.001    0.000 decorators.py:131(__call__)
      100    0.001    0.000    0.001    0.000 sre_compile.py:304(<listcomp>)
      263    0.001    0.000    0.001    0.000 {built-in method compile}
      499    0.001    0.000    0.001    0.000 learning_search.py:121(moves_since_restart)
      100    0.001    0.000    0.107    0.001 metrics.py:1401(fbeta_score)
     1212    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:288(cb)
        4    0.001    0.000    0.002    0.000 six.py:1(<module>)
      300    0.001    0.000    0.002    0.000 {method 'any' of 'numpy.generic' objects}
      269    0.001    0.000    0.001    0.000 sre_parse.py:178(__init__)
      117    0.001    0.000    0.001    0.000 expr.py:153(<genexpr>)
      878    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1000(__init__)
      160    0.001    0.000    0.002    0.000 compat.py:414(python_2_unicode_compatible)
      300    0.001    0.000    0.001    0.000 validation.py:37(_assert_all_finite)
      501    0.001    0.000    0.002    0.000 search.py:159(dequeue)
      335    0.001    0.000    0.001    0.000 sre_parse.py:253(_class_escape)
      404    0.001    0.000    0.004    0.000 __init__.py:851(__setitem__)
      101    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:2090(<setcomp>)
       27    0.001    0.000    0.142    0.005 __init__.py:1(<module>)
      156    0.001    0.000    0.002    0.000 abc.py:135(<setcomp>)
      384    0.001    0.000    0.001    0.000 ops.py:37(names)
